rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct
24,BULL,ARVSMART,3.33,0.9115,2023-12-07,50.0435,7.0649,0.9619,0.1529,0.7785,1.0,0.0,0.4,0.0,0.4,34.51,52.78,70.64
25,BULL,TARC,3.33,0.9115,2023-12-07,18.746,3.2593,0.9494,0.0549,1.329,1.0,0.0,0.5333,0.0,0.5333,34.01,52.02,69.66
26,BULL,TIL,3.33,0.9098,2023-12-07,42.4965,11.6157,0.7242,0.2791,1.3798,1.0,0.0,0.6667,0.0,0.6667,33.55,51.31,68.68
27,BULL,PFS,3.33,0.9074,2023-12-07,32.6618,1.687,0.8411,0.0002,1.9435,1.0,0.0,0.5333,0.0,0.5333,31.83,48.68,65.17
28,BULL,RTNPOWER,3.33,0.9069,2023-12-07,29.7842,3.695,0.9513,-0.0066,1.1442,1.0,0.0,0.4333,0.0,0.4333,31.44,48.11,64.3
29,BULL,ASTRAMICRO,3.33,0.9065,2023-12-07,56.1125,6.8473,0.9138,0.1645,1.247,1.0,0.0,0.5333,0.0,0.5333,30.69,46.96,62.78
30,BULL,JYOTISTRUC,3.33,0.9041,2023-12-07,42.4915,11.6157,0.7085,0.2633,1.1024,1.0,0.0,0.2667,0.0,0.2667,29.67,45.43,60.72
1,BEAR,AYMSYNTEX,3.33,1.0,2023-12-07,40.9081,-0.1971,0.8866,-0.0472,1.1864,1.0,0.0,0.0,0.1667,-0.1637,-99.72,-99.15,-99.15
2,BEAR,DHAMPURSUG,3.33,0.9909,2023-12-07,17.0434,-1.3272,0.6473,-0.0757,1.5162,1.0,0.0,0.0,0.1333,-0.1333,-50.15,-58.82,-63.76
3,BEAR,BOMDYEING,3.33,0.9797,2023-12-07,20.6475,-0.5368,0.7121,-0.0626,1.2128,1.0,0.0,0.0,0.0583,-0.0583,-44.67,-53.78,-58.0
4,BEAR,DSSL,3.33,0.9773,2023-12-07,13.3839,-0.7891,0.6179,-0.0985,1.2565,1.0,0.0,0.4167,0.1667,0.1667,-40.82,-50.43,-54.71
5,BEAR,SAFARI,3.33,0.9729,2023-12-07,17.6382,-1.4676,0.7438,-0.1007,0.4298,1.0,0.0,0.0,0.0833,-0.0833,-37.95,-47.76,-52.34
6,BEAR,DALMIASUG,3.33,0.9695,2023-12-07,22.689,-2.826,0.9032,-0.1426,1.4356,1.0,0.0,0.0,0.0,0.0,-35.71,-45.61,-50.38
7,BEAR,NOCIL,3.33,0.9686,2023-12-07,26.3233,3.3667,0.9361,0.0614,1.1621,1.0,0.0,0.0,0.0,0.0,-33.92,-43.87,-48.86
8,BEAR,APCOTEXIND,3.33,0.9677,2023-12-07,26.9262,1.4888,0.8317,-0.007,0.3593,1.0,0.0,0.0,0.0,0.0,-32.53,-42.36,-47.49
9,BEAR,PGHL,3.33,0.9677,2023-12-07,12.4112,-0.7363,0.6427,-0.0727,0.1389,1.0,0.0,0.0,0.1667,-0.1637,-31.29,-41.02,-46.21
10,BEAR,BHARATRAS,3.33,0.966,2023-12-07,30.613,3.2205,0.8633,0.0148,0.4291,1.0,0.0,0.0,0.0,0.0,-30.2,-39.85,-45.1
11,BEAR,SAREGAMA,3.33,0.9651,2023-12-07,20.7671,2.1823,0.7561,0.0333,1.2415,1.0,0.0,0.5417,0.0,0.5417,-29.28,-38.79,-44.07
12,BEAR,TRIVENI,3.33,0.9642,2023-12-07,18.1922,-1.5403,0.8072,-0.0711,1.169,1.0,0.0,0.0,0.0,0.0,-28.48,-37.82,-43.09
13,BEAR,WINDLAS,3.33,0.9625,2023-12-07,40.1273,2.6837,0.8098,0.0481,0.761,1.0,0.0,0.0,0.0,0.0,-27.75,-36.96,-42.24
14,BEAR,EICHERMOT,3.33,0.9607,2023-12-07,43.5546,6.514,0.9934,0.0565,1.4188,1.0,0.0,0.4,0.0,0.4,-27.08,-36.15,-41.43
15,BEAR,GLAXO,3.33,0.9598,2023-12-07,40.1812,5.8348,0.9206,0.1141,1.1009,1.0,0.0,0.0,0.0,0.0,-26.46,-35.42,-40.66
16,BEAR,KOLTEPATIL,3.33,0.959,2023-12-07,14.8779,1.1118,0.7761,-0.0455,1.7579,1.0,0.0,0.0,0.0,0.0,-25.92,-34.73,-39.98
17,BEAR,HINDWAREAP,3.33,0.9581,2023-12-07,27.1078,1.9345,0.8923,0.0401,1.2322,1.0,0.0,0.0,0.0,0.0,-25.39,-34.09,-39.32
18,BEAR,INSECTICID,3.33,0.9572,2023-12-07,48.3756,7.7082,0.9377,0.1911,1.3987,1.0,0.0,0.6667,0.0,0.6667,-24.93,-33.49,-38.66
19,BEAR,JKIL,3.33,0.9563,2023-12-07,17.2902,0.9694,0.7338,-0.0427,1.4495,1.0,0.0,0.0,0.0,0.0,-24.48,-32.95,-38.07
20,BEAR,ETHOSLTD,3.33,0.9555,2023-12-07,40.5632,0.6454,0.9979,-0.0104,-0.2338,1.0,0.0,0.0,0.0,0.0,-24.05,-32.43,-37.52
21,BEAR,STARCEMENT,3.33,0.9537,2023-12-07,15.0032,0.9837,0.7911,-0.0191,1.789,1.0,0.0,0.0,0.0,0.0,-23.67,-31.92,-37.0
22,BEAR,IPCALAB,3.33,0.9528,2023-12-07,36.7115,4.9387,0.9927,0.0501,0.2709,1.0,0.0,0.0,0.0,0.0,-23.31,-31.47,-36.5
23,BEAR,RBA,3.33,0.952,2023-12-07,12.2057,-0.8229,0.6174,-0.0662,0.9883,1.0,0.0,0.0833,0.0,0.0833,-22.97,-31.04,-36.03
24,BEAR,ULTRACEMCO,3.33,0.9511,2023-12-07,32.7617,4.3122,1.0,0.0067,1.0992,1.0,0.0,0.0,0.0,0.0,-22.64,-30.63,-35.6
25,BEAR,CREDITACC,3.33,0.9502,2023-12-07,40.4935,0.449,0.9323,-0.061,0.0462,1.0,0.0,0.4,0.0,0.4,-22.33,-30.24,-35.16
26,BEAR,SUPRAJIT,3.33,0.9494,2023-12-07,17.4076,-1.5889,0.7397,-0.0828,0.5713,1.0,0.0,0.0,0.0,0.0,-22.05,-29.86,-34.76
27,BEAR,BOROLTD,3.33,0.9485,2023-12-07,27.6271,0.9381,1.0,-0.0026,0.8973,1.0,0.0,0.0,0.0,0.0,-21.77,-29.5,-34.37
28,BEAR,GOCLCORP,3.33,0.9476,2023-12-07,14.9653,-3.1207,0.737,-0.1977,0.4602,1.0,0.0,0.0,0.0,0.0,-21.5,-29.16,-34.0
29,BEAR,FEDERALBNK,3.33,0.9467,2023-12-07,23.9569,2.3298,0.8721,-0.0426,1.0878,1.0,0.0,0.0,0.0,0.0,-21.26,-28.82,-33.62
30,BEAR,SUNTECK,3.33,0.9459,2023-12-07,27.1536,3.3317,0.6862,0.0,1.9841,1.0,0.0,0.0,0.0,0.0,-21.02,-28.51,-33.31
