rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct
3,BEAR,MTB,3.33,0.988,2023-12-07,27.8321,4.5481,0.8635,0.0182,1.023,1.0,0.0,0.0,0.1333,-0.1333,-48.1,-57.84,-63.21
4,BEAR,VYX,3.33,0.9625,2023-12-07,14.1052,-1.8089,0.8116,-0.1377,1.0571,1.0,0.0,0.0,0.2667,-0.2667,-43.39,-53.33,-58.92
5,BEAR,KFY,3.33,0.9534,2023-12-07,37.0588,5.215,1.0,0.0423,0.8417,1.0,0.0,0.0,0.1,-0.1,-40.08,-50.03,-55.8
6,BEAR,CVX,3.33,0.9501,2023-12-07,30.0407,0.5292,0.7537,0.0444,0.0858,1.0,0.0,0.1667,0.4,-0.2333,-37.66,-47.65,-53.31
7,BEAR,GEO,3.33,0.9473,2023-12-07,41.1628,2.2727,0.952,0.0043,0.8599,1.0,0.0,0.0,0.0,0.0,-35.71,-45.53,-51.28
8,BEAR,CHTR,3.33,0.9467,2023-12-07,37.5648,-3.4408,0.8775,-0.1521,1.0269,1.0,0.0,0.0,0.0,0.0,-34.08,-43.8,-49.6
9,BEAR,CDP,3.33,0.9461,2023-12-07,14.1386,2.2802,0.9445,-0.0193,0.9973,1.0,0.0,0.0,0.0,0.0,-32.76,-42.33,-48.07
10,BEAR,PRGO,3.33,0.9449,2023-12-07,20.5699,1.8202,0.954,-0.0131,0.8086,1.0,0.0,0.0,0.0,0.0,-31.57,-41.0,-46.72
11,BEAR,VEEV,3.33,0.9443,2023-12-07,19.9274,-3.5262,0.8167,-0.1826,0.8871,1.0,0.0,0.0,0.0,0.0,-30.58,-39.85,-45.56
12,BEAR,PAYO,3.33,0.9437,2023-12-07,19.5234,-2.2808,0.7854,-0.1826,1.3547,1.0,0.0,0.0,0.0,0.0,-29.68,-38.78,-44.49
13,BEAR,CIEN,3.33,0.943,2023-12-07,16.447,2.5018,0.9581,-0.0077,1.0164,1.0,0.0,0.0,0.0,0.0,-28.86,-37.81,-43.53
14,BEAR,XOM,3.33,0.9427,2023-12-07,23.9535,-1.651,0.7423,-0.0019,0.0457,1.0,0.0,0.0,0.4,-0.4,-28.14,-36.91,-42.6
15,BEAR,EZPW,3.33,0.9424,2023-12-07,12.8443,1.8039,0.9955,-0.0479,0.4276,1.0,0.0,0.0,0.0,0.0,-27.45,-36.11,-41.78
16,BEAR,J,3.33,0.9423,2023-12-07,19.3042,-1.3874,0.7965,-0.1121,0.6366,1.0,0.0,0.0,0.2167,-0.2167,-26.82,-35.38,-41.02
17,BEAR,MGY,3.33,0.9418,2023-12-07,14.1873,-0.7548,0.9357,0.0106,0.2916,1.0,0.0,0.1667,0.0,0.1667,-26.26,-34.71,-40.28
18,BEAR,ATI,3.33,0.9412,2023-12-07,28.6292,-2.4273,0.9352,-0.1622,1.0891,1.0,0.0,0.1,0.0,0.1,-25.74,-34.06,-39.6
19,BEAR,CSR,3.33,0.94,2023-12-07,22.985,1.4275,0.7801,-0.0382,1.1752,1.0,0.0,0.2917,0.0,0.2917,-25.24,-33.44,-38.95
20,BEAR,SHEN,3.33,0.9394,2023-12-07,18.9727,-3.1691,0.781,-0.1455,0.2465,1.0,0.0,0.0,0.0,0.0,-24.79,-32.91,-38.34
21,BEAR,EQT,3.33,0.9388,2023-12-07,23.8993,-2.1629,0.8287,-0.0417,0.5674,1.0,0.0,0.0,0.0,0.0,-24.35,-32.37,-37.77
22,BEAR,APP,3.33,0.9382,2023-12-07,13.2555,-1.8938,0.7049,-0.1634,1.7693,1.0,0.0,0.0,0.0,0.0,-23.93,-31.89,-37.22
23,BEAR,ODFL,3.33,0.9375,2023-12-07,15.3629,-1.1939,0.8353,-0.1181,1.1169,1.0,0.0,0.0,0.0,0.0,-23.55,-31.41,-36.69
24,BEAR,SAM,3.33,0.9373,2023-12-07,16.7302,1.2277,0.5874,-0.0172,0.5117,1.0,0.0,0.0,0.175,-0.175,-23.18,-30.96,-36.19
25,BEAR,NE,3.33,0.9369,2023-12-07,20.0056,-2.8054,0.9519,-0.0706,0.441,1.0,0.0,0.0,0.0,0.0,-22.83,-30.54,-35.72
26,BEAR,OPLN,3.33,0.9363,2023-12-07,16.1486,-0.4423,0.7838,-0.0906,1.0447,1.0,0.0,0.0,0.0,0.0,-22.5,-30.12,-35.26
27,BEAR,ADUS,3.33,0.9357,2023-12-07,28.3973,3.0251,0.9171,0.0002,0.8136,1.0,0.0,0.0,0.0,0.0,-22.19,-29.71,-34.81
28,BEAR,VCYT,3.33,0.9351,2023-12-07,29.3213,1.6332,0.8355,0.0045,1.7974,1.0,0.0,0.0,0.0,0.0,-21.88,-29.32,-34.39
29,BEAR,MKSI,3.33,0.9345,2023-12-07,40.7102,6.1523,0.8366,0.1063,1.5112,1.0,0.0,0.0,0.0,0.0,-21.6,-28.95,-33.98
30,BEAR,AGX,3.33,0.9343,2023-12-07,30.5438,-1.3848,1.0,-0.1276,0.028,1.0,0.0,0.0,0.2167,-0.2167,-21.31,-28.6,-33.58
