Ticker,Price Oct 23 (Rs),Price Apr 23 (Rs),% Difference,,,,,,,,,,,,
GODREJIND.NS,617.75,855.55,38.49,,,,,,,,,,,,
FLUOROCHEM.NS,2686.24,3714.49,38.28,,,,,,,,,,,,
GRSE.NS,683.41,944.95,38.27,,,,,,,,,,,,
MOTHERSON.NS,61.03,83.78,37.28,,,,,,,,,,,,
FORTIS.NS,324,444.11,37.07,,,,,,,,,,,,
MANKIND.NS,1748.71,2392.11,36.79,,,,,,,,,,,,
BLS.NS,242.83,331.78,36.63,,,,,,,,,,,,
KARURVYSYA.NS,114.67,156.52,36.49,,,,,,,,,,,,
OBEROIRLTY.NS,1070.09,1458.8,36.33,,,,,,,,,,,,
WELCORP.NS,405.99,553.19,36.26,,,,,,,,,,,,
CONCOR.NS,675.51,920.31,36.24,,,,,,,,,,,,
GLENMARK.NS,756.96,1030.49,36.14,,,,,,,,,,,,
CAMS.NS,463.6,630.4,35.98,,,,,,,,,,,,
JINDALSAW.NS,179.67,244.25,35.94,,,,,,,,,,,,
JKTYRE.NS,292.63,397.55,35.85,,,,,,,,,,,,
HINDZINC.NS,276.6,375.63,35.8,,,,,,,,,,,,
AMBER.NS,2793.9,3789.3,35.63,,,,,,,,,,,,
LUPIN.NS,1155.71,1563.43,35.28,,,,,,,,,,,,
SPARC.NS,222.3,300.15,35.02,,,,,,,,,,,,
TATASTEEL.NS,114.95,154.37,34.29,,,,,,,,,,,,
ALKEM.NS,3446.48,4618.52,34.01,,,,,,,,,,,,
HINDALCO.NS,450.79,603.88,33.96,,,,,,,,,,,,
CAPLIPOINT.NS,991.48,1326.77,33.82,,,,,,,,,,,,
EIDPARRY.NS,463.27,617.75,33.34,,,,,,,,,,,,
BANKBARODA.NS,183.57,244.65,33.27,,,,,,,,,,,,
GUJGASLTD.NS,398.04,530.43,33.26,,,,,,,,,,,,
SUNPHARMA.NS,1095.15,1456.8,33.02,,,,,,,,,,,,
GLAXO.NS,1420.63,1889.33,32.99,,,,,,,,,,,,
TATACONSUM.NS,870.6,1156.74,32.87,,,,,,,,,,,,
IPCALAB.NS,992.74,1318.37,32.8,,,,,,,,,,,,
ADANIENT.NS,2306.6,3062.38,32.77,,,,,,,,,,,,
MAHLIFE.NS,493.37,651.17,31.98,,,,,,,,,,,,
M&M.NS,1541.39,2031.29,31.78,,,,,,,,,,,,
MAHSEAMLES.NS,646.68,852.01,31.75,,,,,,,,,,,,
ELGIEQUIP.NS,473.69,623.54,31.64,,,,,,,,,,,,
MAXHEALTH.NS,576.19,758.41,31.63,,,,,,,,,,,,
SUZLON.NS,31.8,41.85,31.6,,,,,,,,,,,,
IDEA.NS,10.95,14.4,31.51,,,,,,,,,,,,
TEJASNET.NS,824.98,1084.35,31.44,,,,,,,,,,,,
JWL.NS,293.57,385.75,31.4,,,,,,,,,,,,
EICHERMOT.NS,3364.95,4413.39,31.16,,,,,,,,,,,,
SONACOMS.NS,501.59,657.08,31,,,,,,,,,,,,
COLPAL.NS,1968.03,2577.58,30.97,,,,,,,,,,,,
SHRIRAMFIN.NS,360.65,472.25,30.94,,,,,,,,,,,,
DMART.NS,3668.95,4800.55,30.84,,,,,,,,,,,,
